2020-05-19 10:20:54,896 [main] INFO  [com.example.springboot.SpringbootApplication] StartupInfoLogger.java:55 - Starting SpringbootApplication on SKY-20161218SDR with PID 8060 (E:\learnproject\springboot-test\target\classes started by Administrator in E:\learnproject\springboot-test)
2020-05-19 10:20:54,961 [main] INFO  [com.example.springboot.SpringbootApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-05-19 10:20:56,152 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-19 10:20:56,154 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-19 10:20:56,184 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 16ms. Found 0 Redis repository interfaces.
2020-05-19 10:20:56,998 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:92 - Tomcat initialized with port(s): 8888 (http)
2020-05-19 10:20:57,016 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-05-19 10:20:57,017 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-19 10:20:57,182 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2020-05-19 10:20:57,183 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 2119 ms
2020-05-19 10:20:57,713 [main] INFO  [c.a.d.s.b.a.DruidDataSourceAutoConfigure] DruidDataSourceAutoConfigure.java:56 - Init DruidDataSource
2020-05-19 10:20:58,690 [main] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:928 - {dataSource-1} inited
2020-05-19 10:20:59,119 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-19 10:20:59,445 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:204 - Tomcat started on port(s): 8888 (http) with context path ''
2020-05-19 10:20:59,448 [main] INFO  [com.example.springboot.SpringbootApplication] StartupInfoLogger.java:61 - Started SpringbootApplication in 5.56 seconds (JVM running for 7.075)
